C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST21:52:06

spstring~'O' & nbref>=10
------------------------

Number of objects : 2847

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------------------------|----|----
2233|HD 112784                          |*  |13 00 05.6353969570 -60 35 37.221922955| 7.50 | 8.31 | 8.26 | 9.11 |     ~|O9.5III                            |  73|   0
2234|HD 312002                          |Em*|12 52 49.6175147562 -61 30 59.473124022|12.32 |12.29 |11.51 |11.40 |     ~|OB+                                |  13|   0
2235|HD 311999                          |*  |12 50 22.6136011684 -61 35 00.794322286|11.14 |11.40 |10.77 |10.76 |     ~|OB                                 |  38|   0
2236|CD-60 4452                         |*  |13 02 26.4667972935 -61 23 20.101501101|13.96 |11.74 |10.03 | 9.79 |     ~|OB+                                |  15|   0
2237|HD 312021                          |Em*|12 50 33.0770995851 -62 07 38.343822594|11.34 |11.51 |10.54 |10.36 |     ~|OB+                                |  14|   0
2238|UCAC4 139-093558                   |*  |12 54 56.6134760070 -62 13 10.872277227|13.26 |12.83 |11.66 |11.44 |     ~|OB+                                |  12|   0
2239|TYC 8989-436-1                     |*  |13 01 52.7661999637 -61 31 04.599738767|13.22 |12.79 |11.28 |10.85 |     ~|OB+                                |  17|   0
2240|CPD-62 2940                        |*  |12 50 09.3770289783 -62 44 49.950523139|11.53 |11.58 |10.56 |10.31 |     ~|OB+                                |  16|   0
2241|HD 312287                          |*  |13 04 33.4603283603 -63 06 02.501663837|11.37 |11.57 |10.64 |10.52 |     ~|O7III                              |  13|   0
2242|CPD-62 3006                        |*  |13 06 57.8130267854 -62 49 08.014573705|10.52 |10.88 |10.28 |10.29 |     ~|OB                                 |  14|   0
2243|HD 113754                          |*  |13 07 04.3899878991 -62 59 30.453492941| 9.7  |10.12 | 9.63 | 9.78 |     ~|O6/7                               |  28|   0
2244|CPD-63 2432                        |*  |12 51 47.0402863861 -64 00 31.290585316|11.79 |11.76 |11.19 |11.11 |     ~|OB+                                |  10|   0
2245|V* FL Cru                          |bC*|12 53 18.6985040415 -64 01 23.976751514|12.42 |12.48 |11.52 |11.39 |     ~|OB-                                |  10|   0
2246|CD-63 800                          |*  |13 03 12.3875887745 -63 42 56.055229915|10.2  |10.59 |10.05 |10.14 |     ~|OB                                 |  11|   0
2247|THA 17-14                          |Em*|13 08 08.7645762508 -63 31 38.836150800|12.36 |12.66 |11.97 |11.86 |     ~|OBe                                |  13|   0
2248|HD 312143                          |*  |12 55 32.4582653966 -61 51 03.778242132|10.65 |10.85 |10.28 |10.16 |     ~|OB                                 |  12|   0
2249|HD 312155                          |*  |12 59 33.3737113270 -62 37 52.895209988|10.39 |10.50 | 9.80 | 9.90 |     ~|OB                                 |  13|   0
2250|THA 17-3                           |Em*|12 53 30.9034180276 -61 51 32.394395614|12.04 |12.21 |11.11 |10.90 |     ~|OB+                                |  20|   1
2251|CD-61 3572                         |Em*|12 43 09.5388925505 -61 57 27.111212530|12.86 |12.22 |10.47 |10.04 |     ~|OB+                                |  14|   0
2252|HD 311824                          |*  |12 44 05.0725804268 -61 38 53.922833758|11.81 |11.91 |11.13 |10.97 |     ~|OB                                 |  10|   0
2253|HD 312157                          |*  |12 58 27.1508520434 -62 28 47.210544347|10.99 |11.25 |10.59 |10.54 |     ~|OB                                 |  10|   0
2254|HD 113606                          |*  |13 06 03.1663910266 -64 14 35.577322308| 8.54 | 9.76 | 9.10 | 9.38 |     ~|O9.5III                            |  26|   0
2255|CPD-63 2565                        |*  |13 08 59.2724209058 -64 32 17.148425064| 9.59 |10.37 |10.13 |10.26 |     ~|OB-                                |  11|   0
2256|V* V340 Mus                        |Al*|13 06 32.3468775155 -65 04 49.530181158| 7.19 | 8.01 | 7.90 | 9.09 |     ~|O9IV                               |  35|   0
2257|* tet Mus B                        |*  |13 08 07.0495652209 -65 18 26.978169498|     ~| 7.500| 7.555|     ~|     ~|O9III                              |  13|   0
2258|CD-65 1407                         |*  |13 08 14.1265437140 -66 00 44.378716037| 9.27 | 9.95 | 9.79 |10.07 |     ~|OB                                 |  11|   0
2259|CPD-65 1030                        |*  |12 55 21.6207245035 -66 22 56.700667242|11.51 |12.02 |11.73 |11.78 |     ~|OB+                                |  10|   0
2260|CPD-63 2473                        |WV*|12 59 54.7713572081 -64 01 30.978474389|10.76 |10.90 |10.37 |10.42 |     ~|OB-                                |  11|   0
2261|CPD-63 2495                        |HXB|13 02 47.6541729595 -63 50 08.625922862|10.34 |10.72 | 9.98 |10.03 |     ~|O9.5Ve                             | 680|   1
2262|[KRL2007b] 129                     |Psr|13 01 58.7203639191 -63 58 08.830169485|     ~|     ~|     ~|     ~|     ~|O9V/B1III                          |  51|   0
2263|HD 112244                          |s*b|12 55 57.1346044550 -56 50 08.891958192| 4.49 | 5.33 | 5.32 | 5.21 | 5.21 |O8.5Iab(f)p                        | 195|   0
2264|HD 114024                          |*  |13 08 40.3302059978 -59 40 03.961483891| 9.42 |10.06 | 9.82 |10.02 |     ~|O9.5                               |  30|   0
2265|CD-58 4825                         |Em*|12 58 25.6011102518 -59 15 06.370081478| 9.56 | 9.89 | 9.62 | 9.87 |     ~|OB-                                |  10|   0
2266|CD-60 4489                         |Em*|13 06 28.0719268849 -61 00 49.590633271| 9.99 |10.42 |10.09 |10.14 |     ~|OB-e                               |  14|   0
2267|CD-60 4560                         |*  |13 13 42.1988485146 -60 42 19.869766906|10.02 |10.56 |10.32 |10.43 |     ~|OB-                                |  12|   0
2268|CD-60 4582                         |*  |13 15 53.4089778566 -60 49 34.388659882| 9.54 |10.02 | 9.48 | 9.76 |     ~|O6.5If                             |  21|   0
2269|CD-60 4591                         |Em*|13 17 43.4374027159 -60 44 20.212868380|10.31 |10.635|10.13 |10.09 |     ~|OB                                 |  13|   0
2270|CD-60 4483                         |*  |13 05 55.9573066458 -61 21 53.003761466|11.17 |11.02 | 9.93 | 9.84 |     ~|OB+                                |  13|   0
2271|CD-60 4503                         |Em*|13 08 20.7681138766 -61 14 03.213024867|10.48 |10.89 |10.49 |10.47 |     ~|OB                                 |  12|   0
2272|CPD-60 4489                        |Em*|13 10 37.7205131525 -61 06 19.569375303|     ~|11.73 |11.60 |11.49 |     ~|OB+                                |  10|   0
2273|HD 114530                          |*  |13 12 15.2991516481 -61 04 15.879394677| 8.78 | 9.41 | 9.13 | 9.57 |     ~|O9.5III                            |  24|   0
2274|CD-60 4547                         |Be*|13 12 41.9286173553 -61 01 07.203395330|10.22 |10.78 |10.42 |10.54 |     ~|OB+                                |  15|   0
2275|CD-60 4563                         |*  |13 13 54.1443278272 -61 10 15.642178620|10.88 |11.25 |10.48 |10.42 |     ~|OB+                                |  14|   0
2276|CD-60 4581                         |Em*|13 15 42.2107262160 -61 09 48.247503584|11.29 |11.65 |11.12 |10.85 |     ~|OB+                                |  13|   0
2277|CD-61 3664                         |*  |13 06 48.9669796013 -61 47 00.073057339| 9.76 |10.21 | 9.62 | 9.58 |     ~|O9.5V                              |  22|   0
2278|CPD-61 3540                        |*  |13 15 47.8301693801 -61 59 19.562123877| 9.91 |10.47 |10.34 |10.43 |     ~|OB                                 |  10|   0
2279|CPD-61 3626                        |Be*|13 21 49.9121 -61 57 03.160            |10.41 |10.94 |10.76 |10.68 |     ~|OB                                 |  12|   0
2280|V* V889 Cen                        |El*|13 26 59.8291185701 -62 01 49.330309452|12.71 |12.81 |11.66 |11.27 |     ~|O4f+_+_O6/7:(f:)                   |  21|   0
2281|CPD-61 3502                        |*  |13 12 40.5101104948 -62 25 17.628672234|10.76 |10.96 |10.38 |10.21 |     ~|OB+                                |  11|   0
2282|V* V961 Cen                        |SB*|13 16 04.8010733834 -62 35 01.487031096| 7.51 | 9.16 | 9.32 | 8.82 |     ~|O9.5III+B0Ib                       |  94|   1
2283|CPD-61 3549                        |*  |13 16 25.8523950992 -62 33 31.774365145|11.08 |11.16 |10.33 |10.01 |     ~|OB+                                |  25|   0
2284|HD 115455                          |SB*|13 18 35.3590484575 -62 29 28.403709769| 7.40 | 8.17 | 7.97 | 8.81 |     ~|O8III((f))                         |  95|   1
2285|CD-61 3738                         |*  |13 19 33.8729818110 -62 38 44.804952013|10.97 |11.11 |10.40 |10.17 |     ~|OBe:                               |  23|   0
2286|CPD-61 3612                        |*  |13 20 34.3000807891 -62 21 21.280114038|11.37 |11.69 |10.91 |10.74 |     ~|OB                                 |  12|   0
2287|CPD-62 3086                        |*  |13 14 00.5558252778 -62 53 04.534257718|10.46 |11.09 |10.75 |10.88 |     ~|OB                                 |  10|   0
2288|CPD-62 3092                        |Em*|13 14 21.6665396170 -63 08 46.502441501|10.5  |11.11 |10.69 |10.76 |     ~|OB                                 |  10|   0
2289|CPD-61 3569                        |WR*|13 18 01.0418998739 -62 26 04.755158118|12.66 |12.64 |11.88 |11.84 |     ~|WC7+OB                             |  59|   0
2290|V* V1169 Cen                       |Al*|13 18 30.7232583778 -62 39 45.224449808|10.51 |11.10 |10.63 |10.70 |     ~|OB                                 |  18|   0
2291|TYC 8994-1518-1                    |*  |13 21 36.0085974313 -62 50 55.308329051|12.45 |12.79 |11.90 |11.63 |     ~|OB+                                |  11|   0
2292|HD 116121                          |*  |13 23 03.7965076856 -63 03 42.388128144|     ~| 9.26 | 9.27 |     ~|     ~|O9/B0(V)                           |  20|   0
2293|HD 116781                          |Be*|13 27 25.05968 -62 38 56.4438          | 6.81 | 7.74 | 7.62 | 8.59 |     ~|O9/B1(I)e                          |  57|   1
2294|V* V593 Cen                        |EB*|13 17 13.3430833249 -62 37 33.544833979|     ~|10.80 |10.46 |     ~|     ~|OB-                                |  17|   0
2295|CD-60 4482                         |*  |13 05 30.9876255314 -61 40 01.633084949|10.96 |10.98 |10.002| 9.95 | 9.24 |OB+                                |  12|   0
2296|V* V1153 Cen                       |Al*|13 04 36.0217267193 -61 40 17.285497554|10.36 |10.53 | 9.83 |10.01 |     ~|OB                                 |  15|   0
2297|CD-61 3660                         |*  |13 06 13.9315021678 -61 53 32.354804009|10.28 |10.68 |10.10 |10.12 |     ~|OB-                                |  13|   0
2298|HD 114737                          |** |13 13 45.5289558909 -63 35 11.705673659| 7.43 | 8.19 | 8.00 | 8.92 |     ~|O8.5III                            |  54|   0
2299|HD 116796                          |*  |13 27 32.4929011994 -63 32 21.802005883| 7.65 | 9.09 | 9.01 | 9.29 |     ~|O9II                               |  29|   0
2300|NGC 5189                           |PN |13 33 32.8779118130 -65 58 27.038960234|     ~|14.1  |14.5  |     ~|14.35 |[WO1]                              | 295|   2
2301|WRAY 16-135                        |PN |13 45 22.3674292595 -71 28 56.136996109|     ~|12.9  |12.80 |     ~|     ~|Of-WR(H)                           |  71|   0
2302|Hen 2-105                          |PN |14 15 24.7801370527 -74 12 46.071943038|     ~|     ~|     ~|     ~|     ~|O                                  |  58|   0
2303|HD 116282                          |*  |13 23 56.2549394289 -59 48 34.815404654| 9.46 |10.07 | 9.69 | 9.91 |     ~|O8III(n)                           |  31|   0
2304|HD 117490                          |*  |13 32 08.5984445366 -60 48 55.483502747| 8.13 | 8.94 | 8.92 | 9.52 |     ~|ON9.5IIInn                         |  31|   0
2305|HD 117357                          |bC*|13 31 15.4958569191 -61 43 57.432964000| 8.51 | 9.84 | 9.58 | 9.61 |     ~|O9.5/B0V                           |  41|   0
2306|TYC 8995-1548-1                    |*  |13 35 26.7432693037 -62 11 13.967716907|12.55 |12.80 |11.95 |11.68 |     ~|OB+pec                             |  11|   0
2307|CPD-60 5005                        |Em*|13 49 36.8003413337 -61 27 23.506258741|10.92 |11.42 |11.01 |11.05 |     ~|OB+e                               |  11|   0
2308|HD 117797                          |*  |13 34 11.9819702070 -62 25 01.783079406| 9.13 | 9.68 | 9.20 | 9.56 |     ~|O7.5fp                             |  52|   0
2309|CPD-61 3973                        |*  |13 45 21.1025718446 -62 25 35.429847239|11.02 |11.39 |10.72 |10.52 |     ~|O7.5V((f))                         |  13|   0
2310|CPD-62 3574                        |*  |13 46 48.1096227663 -62 44 01.406975207|10.34 |10.81 |10.25 |10.17 |     ~|OB                                 |  14|   0
2311|CPD-63 2886                        |*  |13 39 35.3896483735 -63 39 41.736576738|11.02 |11.23 |10.32 |10.16 |     ~|OB+                                |  11|   0
2312|CPD-63 3028                        |*  |13 53 30.8394940738 -64 28 14.915329942|10.72 |11.02 |10.40 |10.31 |     ~|OB+                                |  13|   0
2313|Hen 3-938                          |Em*|13 52 42.8518766450 -63 32 49.168616918|15.33 |15.03 |13.50 |     ~|     ~|O9                                 |  24|   0
2314|HD 120678                          |Em*|13 52 56.4133085414 -62 43 14.259143108| 7.04 | 9.45 | 8.20 | 9.02 |     ~|O9.5Ve                             |  67|   1
2315|HD 117856                          |*  |13 34 43.40546 -63 20 07.6319          | 6.92 | 8.97 | 8.90 | 8.29 |     ~|O9.7II-III                         |  46|   0
2316|HD 118198                          |*  |13 36 59.4934763930 -63 38 45.712212637| 7.92 | 9.19 | 9.32 | 9.29 |     ~|O9.7III                            |  40|   0
2317|CPD-64 2731                        |*  |14 07 07.5085637928 -65 29 34.295556465|10.22 |10.87 |10.59 |10.66 |     ~|O5.5Vn((f))                        |  15|   0
2318|CPD-65 2645                        |Em*|14 13 08.3613531914 -65 39 18.888424903|     ~|11.59 |11.43 |11.63 |     ~|O                                  |  12|   0
2319|NGC 5315                           |PN |13 53 56.9609674528 -66 30 50.915454108|     ~|14.58 |14.40 |     ~|     ~|[WO4]                              | 293|   0
2320|V* BX Cir                          |Pu*|14 01 36.4828935084 -66 09 56.163632037|11.79 |12.62 |12.58 |12.75 |     ~|OB+                                |  52|   0
2321|BPS CS 22956-0050                  |Pe*|21 58 05.8339798575 -65 13 27.160917994|     ~|14.95 |14.25 |13.745|13.211|CEMP-no                            |  36|   0
2322|CD-55 5221                         |*  |13 34 20.2661422129 -55 39 00.841101031|10.23 |10.90 |10.78 |10.87 |     ~|OB                                 |  13|   0
2323|HD 120521                          |*  |13 51 33.9825168197 -58 32 22.270931775| 8.06 | 8.79 | 8.58 | 9.33 |     ~|O7.5Ib(f)                          |  52|   0
2324|CPD-59 5209                        |*  |13 49 40.4288008193 -60 36 23.200556578|10.3  |10.62 |10.09 | 9.85 |     ~|OB+e                               |  14|   0
