C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.16CEST00:02:29

spstring~'M' & nbref>=30
------------------------

Number of objects : 3588

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
114 |V* KU Cyg                          |Al*|20 12 45.1081733782 +47 23 41.370993244|     ~|11.70 |11.04 |     ~|     ~|F4Iae+M0III           |  83|   0
115 |* ome02 Cyg                        |*  |20 31 18.8160122265 +49 13 13.063336376| 8.91 | 6.99 | 5.44 |     ~|     ~|M2III                 |  30|   0
116 |* mu. Cep                          |s*r|21 43 30.4610574 +58 46 48.160181      | 8.85 | 6.43 | 4.08 | 1.98 | 0.22 |M2-Ia                 | 623|   1
117 |V* AZ Cep                          |s*r|22 08 38.4892795151 +59 33 01.459322924|15.03 |12.70 |10.03 | 7.54 | 5.50 |M2Ia                  |  32|   0
118 |Ross 226                           |PM*|22 54 21.5028297896 +60 59 43.618133392|     ~|14.38 |12.78 |11.65 |10.22 |M3V                   |  32|   0
119 |V* V386 Cep                        |LP*|22 53 12.3314657743 +61 17 00.550458793|     ~|     ~|     ~|     ~|     ~|M3Ib                  |  44|   0
120 |MCC 858                            |Er*|23 06 04.8464676078 +63 55 34.353464181|     ~|12.34 |10.96 |10.37 | 9.10 |M0.3V                 |  73|   0
121 |* 4 Cas                            |V* |23 24 50.2623747 +62 16 58.109355      |     ~| 6.592| 4.955|     ~|     ~|M1III                 |  53|   0
122 |HD 220074                          |*  |23 20 14.3786868809 +61 58 12.464680364|10.070| 8.070| 6.400|     ~|     ~|M2III                 |  30|   1
123 |V* V816 Cas                        |LP*|23 42 20.9521457145 +64 30 55.411380848|10.58 | 8.46 | 6.58 | 4.93 | 3.60 |M2III                 |  37|   0
124 |HD 861                             |SB*|00 13 12.7303470638 +62 02 27.159553928|     ~| 6.83 | 6.622|     ~|     ~|A2m                   |  43|   0
125 |V* KN Cas                          |s*r|00 09 36.3675084251 +62 40 04.119300189|11.79 |11.21 | 9.49 |     ~|     ~|M2Iep+B2.5III:        |  50|   0
126 |BD+63 3                            |s*r|00 09 26.3354709067 +63 57 14.095386541|     ~|10.13 | 8.30 |     ~|     ~|M2Iab                 |  33|   0
127 |V* TY Cas                          |Mi*|00 36 59.3947339019 +63 08 01.811232596|     ~|     ~|     ~|     ~|     ~|M6                    |  46|   0
128 |Wolf 47                            |Er*|01 03 19.8342607685 +62 21 55.831198996|     ~|15.34 |     ~|12.4  |     ~|M5V                   | 165|   0
129 |BD+61 195                          |PM*|01 02 38.8679928575 +62 20 42.172837073|     ~|11.439|     ~| 8.7  |     ~|M1.5V                 | 194|   0
130 |V* HS Cas                          |s*r|01 08 19.9201927629 +63 35 11.504718283|14.52 |12.33 | 9.82 |     ~|     ~|M4Ia                  |  43|   0
131 |V* VY Cas                          |LP*|00 51 26.0011824096 +62 55 14.874447782|     ~|10.94 | 9.62 |     ~|     ~|M6/7III               |  52|   0
132 |Wolf 44                            |PM*|01 01 20.0490626127 +61 21 56.681939701|     ~|12.26 |10.87 |     ~|     ~|M2.0Ve                |  66|   1
133 |OH 127.8 -0.0                      |OH*|01 33 51.21 +62 26 53.2                |     ~|     ~|     ~|     ~|     ~|M9III                 | 174|   0
134 |V* V778 Cas                        |s*r|01 58 28.9111055202 +59 16 08.779236252|     ~|10.55 | 8.38 |     ~|     ~|M2Iab                 |  37|   0
135 |V* V784 Cas                        |dS*|02 10 25.5077203996 +59 58 47.285111740|     ~| 6.977| 6.635|     ~|     ~|kF0hF2mF2(III)        |  38|   0
136 |HD 236947                          |*  |02 07 12.0538270582 +58 47 15.907917738|13.11 |10.82 | 8.63 | 6.78 | 5.26 |M2III                 |  41|   0
137 |V* V605 Cas                        |s*r|02 20 22.4633097592 +59 40 16.911006172|13.41 |10.80 | 8.36 | 6.42 | 4.85 |M2Iab                 |  59|   0
138 |V* T Per                           |s*r|02 19 21.8772655699 +58 57 40.351139759|13.40 |10.78 | 8.45 | 6.58 | 4.94 |M2Iab                 |  95|   0
139 |V* S Per                           |s*r|02 22 51.7103845023 +58 35 11.454759954|13.22 |10.55 | 7.90 |     ~|     ~|M4.5-7Iae             | 355|   0
140 |V* V550 Per                        |LP*|02 15 13.2967808917 +58 08 32.318206736|13.85 |11.23 | 8.92 | 7.00 | 5.49 |M0-M1I                |  42|   0
141 |HD 13929                           |*  |02 17 33.8918736684 +58 01 11.705672512|     ~| 7.73 | 7.49 |     ~|     ~|Am                    |  32|   0
142 |Ross 15                            |Er*|01 59 23.5138062650 +58 31 16.105242872|     ~|12.90 |12.155|11.871|     ~|M4Ve                  |  78|   0
